image,page,label,color,xmin,ymin,xmax,ymax,text,id
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.280556,0.563144,0.411111,0.597938,PANDAR,2Spqk23ubDWR
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.809722,0.565722,0.901389,0.592784,plow,PbgTYlY6LIcz
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.481944,0.574742,0.566667,0.592784,- ANDO,PS2fhELOoi5o
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.433333,0.600515,0.668056,0.643041,use of oil refining,SfEnyFvzTc7L
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.695833,0.600515,0.726389,0.618557,etc .,JGjagxpEDFiE
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.344444,0.614691,0.411111,0.636598,further,R9L8kBJ8J1MF
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.269444,0.621134,0.973611,0.686856,AT any WIRELESS STATION . LIGHTHOUSE Company Surplus,KRXkMQKTG7OM
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.038889,0.637887,0.204167,0.686856,RESISTANCE :,qD46aOoOU3Q0
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.270833,0.675258,0.958333,0.726804,GERMANS AT REINE NOT AWARE SLIGHT resistance,8BGnaoDLZruS
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.269444,0.708763,0.920833,0.771907,AGES OF ENEMY 16 to 45,3R01XTaimJah
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.269444,0.746134,0.9375,0.811856,Frightened . One escaped captured,bWZTfKyh365G
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.284722,0.798969,0.786111,0.850515,CHEST HIGH IN FREEZING WATER,brGNTjFtSwYl
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.276389,0.83634,0.894444,0.895619,POPULATION Took us for Serous the Americans,3gMTpZQBkpZk
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.644444,0.880155,0.830556,0.918814,IR/5H truel .,0LsGIQaifUCm
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.275,0.889175,0.579167,0.938144,ouija as British,4swBxNdWrMAL
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.276389,0.927835,0.598611,0.974227,Обоскирит No Новолуно .,kIfFQAtP52x1
